chirping noise
narration
swimming
water
grebe
lake
bird
animal noise
fog
water noise
diving
multiple
zoomed in
head
music
grebe 
courting
dancing
greeb
2
grooming
two
foot
stretching
shaking leg
splashing
running
slow motion
feet
splash
underwater
kelp
sea weed
octopus
fish
rock seafloor
crab
walking
plants
rock
lowering
starfish
immersing
hiding
crawling into den
tentacles
swaying
eggs
octopus eggs
caressing
eye
hatching
octopus fetus
baby octopus
dead
fish 
forest canopy
trees
forest
aerial view
forest floor
dead leaves
leaves
poison arrow frog
strawberry poison arrow frog
skittering
breathing
tadpole
poison arrow  frog
sun
tree
tree trunk
jumping
climbing
moss
river
shubbery
stream
canopy
hopping
shrubbery
plant
bromeliad
leaf
silohette
soaking
legs
bug
crawling
tadpole 
egg
lays egg
eating
eating 
leg
tail
frog
stepping
ocean
wind
cliff
wind noise
land
water 
ocean noise
penguins
penguin
waddling
penguin squawking noise
chinstrap penguin
shore
feeding
regurgitating
baby penguin
shaking
clouds
shadow
flapping
ice
rocks
3
slipping
waves
iceberg
ice chunks
1
watching
leapord seal
leopard seal
attacking
hunting
struggling
biting
birds
flying
flailing
tossing
surfacing
dead bloody penguin
falling
seaweed
seafloor
drifting
swimming 
forest noise
rainforest
moving
branches
orangutan
grabbing
pulling
baby orangutan
brachiating
baby
dangling
adult
holding
baby orangutan 
hugging
hand
playing
orangutan noise
face
vines
nuts
fruit
nut
giving
raising
fade out
fading black
black
<
sea_floor
silhoutte
silhouette
capuchin
