white noise
clouds
wind noise
narration
ocean
underwater
school of fish
fish
multiple
music
hundreds
swimming
water noise
swordfish
chasing
fleeing
zoomed in
swordfish dorsal fin
slow motion
jumping
flying fish
escaping
soaring
flying
2
splashing
3
taking off
landing
1
water
sunrise
cricket noise
shrubbery
chirping noise
field
bug noise
plains
rock
rocks
animal noise
flat, but tall rock filled landscape
pitted rock
zoomed out
flat , but tall rock filled landscape
cliff
tall rock filled landscape
bird call
forest
jungle
brown tufted capuchin
monkey
two
walking
4
capuchin
climbing down
climbing
valley
trees
nut palm plant
nut palm
nut palm seeds
nuts
searching
grabbing
stepping
capuchin head
body
hands
feet
loosening
head
chewing
running
shadow
face
eating
nut palm seed
gnawing
nut
eating noise
biting
peeling
ground
falling
husk
dropped
collecting seeds
holding
tapping
carrying
rock tool
stone
lifting
banging
crushing
cracking noise
palm nut seed
cracking
licking
licking noise
banging noise
cracking seeds
stones
young
dropping
touching
rock noise
playing with
bug
buzzing noise
sillohette
playing
sizzling noise
green
leaf
venus fly trap
fast-forward
fly trap
opening
water droplets
droplets
nectar
fine hair
pink
fly
grooming
hair
mouth
capture
closing
legs
encaging
struggling
fighting
leg
closed
stuggling
forest canopy
forest floor
insect
hatching
shedding
stick
plant
leaves
bubble noise
eyes
elongating
fast forward
forest noise
eye
varies
shaking
blue sky
sun
tree bark
tree trunk
clearing
tree
dry lakebed
lion
lagoon
birds
dried lagoon
buffalo carcass
tusk
patting
hippo
mud
soaking
dirt
river
hippos
many
hippo noise
grunting noise
land
rising
splash
charging
mutliple
bird
bird vocalization
breathing
tool
silhouette
fast motion
molting
branches
vocalization
birs
barren land
->
<
