forest
trees
sunlight
light
tree_trunk
butterflies
moth
flying
grass
leaves
shrubbery
deer
walking
legs
leaf_litter
body
head
tiger
stripes
tail
swinging
monkey
langur_monkey
bird
face
bug
eating
horns
tongue
nose
licking
tiger 
chewing
stopping
startling
fleeing
chasing
running
jumping
leaping
water
splashing
green
wind
field
rock
hills
squirrel
snakeskin
grooming
smelling
prairie_dog
adult
offspring
rattlesnake
running 
sniffing
standing
mound
shaking
pushing 
digging
rattling
dirt
stepping
withdrawing
rustling 
slithering
mother
carrying
grabbing
biting
holding
hiding
waves
breaking
fish
ocean
rocks
penguin
waddling
beach
shore
sand
seal
playing
wave
splash
soaking
killer_whale
swimming
attack
whale
hunting
attacking
pushing
aerial
shoving
diving
surfacing
spouting
tidal_pools
kelp
basking
seagull
dorsal_fin
submerged
pursuing
rocking
fighting
dead 
children
standing
