clouds
ocean
underwater
fish
swimming
swordfish
chasing
fleeing
dorsal_fin
jumping
escaping
soaring
flying
splashing
landing
water
sunrise
shrubbery
field
plains
rock
flat
cliff
forest
jungle
capuchin
monkey
walking
climbing
valley
plant
seeds
nuts
searching
grabbing
stepping
body
hands
feet
loosening
head
chewing
running
shadow
face
eating
gnawing
biting
peeling
ground
falling
husk
dropped
collecting 
holding
tapping
carrying
stone
lifting
banging
crushing
cracking
licking
young
dropping
touching
playing 
bug
green
leaf
venus_flytrap
opening
droplets
nectar
pink
fly
grooming
hair
mouth
capture
closing
legs
struggling
fighting
leg
closed
struggling
forest_canopy
insect
hatching
shedding
stick
plant
leaves
eyes
elongating
eye
shaking
blue_sky
sun
bark
tree_trunk
clearing
tree
lakebed
lion
lagoon
carcass
tusk
patting
hippo
mud
soaking
dirt
river
hippos
many
land
rising
splash
charging
bird
breathing
molting
branches
barren
