water
light
splash
music
bubble
words
earth
narration
Earth
circles
Seabed
seabed
coast
dolfins
4
dolphin
swimming
varies
multiple
2
7
water noise
splashing sound
dorsal fin
dolphin blowing sound
1
silt trail
seaweed
circle
fish
jumping
eating
catching
splashing
dolphin noise
slow motion
3
zooming out
silt circle
seaweed reef
humming bird
red flower
hovering
hummingbird
flying
flower
wing noise
wasp
spraying
bug
spraying sound
ant
frog
dragon fly
forked tongue
dragonfly
hippos
fighting
birds
sitting on hippo
hippo
two
bird
bird noise
taking off
flyinig
plants
bark
growing
high-speed
plant
lizard
running
underwater looking up
walking
monkies
soaking
snow
monkey
grooming
nursing
snuggling
green
mountains
cheetah
chirping noise
spots
giraffe
head only
<<<
savanna
plains
head
antelope
dik dik
shoulder
zebras
many
zebra
<
tongue
licking noise
three
grass
ostrich
footstep noise
pecking
zoomed in
feet
savannah
eyes
stalking
ostrich noise
display with wings
ostrich squawks
cheetah in background
ostrich cooing
chasing
fleeing
zooming in
ostrich squaking noise
tree
2 ostrich
2 cheetahs
attacking
3 cheetahs
ostrich display
cheetah noise
falling
ostrich down
struggling
biting
ostrich flailing 
zoomed out
killing
birds in background
kicking
kick noise
cheetah head
cheetah breathing noise
forest noise
forest shrubbery
rainforest
changing focus
insect
stick bug
vibrating static noise
animal noise
praying mantis
insect eating noise
crackling grooming noise
forest
camoflaged lizard
lizard head
lizard foot
insect head
eating noise
insect leg
insect mouth
leg
grasshopper
leaf
crackling noise
attack on praying mantis
grabbing
out-of-focus attack action
stick-like insect
attack on insect
pulled
chameleon leg
branch
chameleon
chameleon body
eye
chameleon head
praying mantis head
praying mantis 
chameleon tongue
hunting
praying mantis attacked
tongue noise
spider web
spiderweb
cricket
sizzling sound
water droplets
fade out
arctic landscape
rock
ocean
wind noise
icebergs
ice
Antarctica
reflection
whale
whale noise
crab-eater seals
seals
seal noise
5
basking
sliding
seal barking
playing
cuddling
iceberg
diving
underwater
tail
killer whales
whale song noise
killer whale
crab-eater seals in background
seal
surfacing
crab-eater seal
breathing noise
sufacing
spouting
bubbles
blur
hiding
seal noises
fading out
white
camouflaging
chrping noise
plodding
