,0,1,2,3,4,5,6
80,water,silt,trail,seaweed,reef,,
81,water,silt,trail,seaweed,reef,,
82,water,silt,trail,seaweed,reef,,
83,flower,,,,,,
84,flower,,,,,,
85,flower,,,,,,
86,flower,,,,,,
87,bark,,,,,,
88,bark,,,,,,
89,bark,,,,,,
90,,,,,,,
91,,,,,,,
92,water,,,,,,
93,water,,,,,,
94,plant,bark,,,,,
95,plant,bark,,,,,
96,plant,bark,,,,,
97,water,,,,,,
98,water,,,,,,
99,water,,,,,,
100,water,,,,,,
101,water,snow,,,,,
102,water,snow,,,,,
103,water,snow,steam,words,,,
104,water,snow,steam,words,,,
105,water,snow,steam,words,,,
106,mountains,clouds,,,,,
107,mountains,clouds,,,,,
108,mountains,clouds,,,,,
109,mountains,clouds,,,,,
110,,,,,,,
111,,,,,,,
112,,,,,,,
113,,,,,,,
114,savanna,plains,grass,,,,
115,savanna,plains,grass,,,,
116,,,,,,,
117,grass,,,,,,
118,,,,,,,
119,,,,,,,
120,,,,,,,
121,,,,,,,
122,,,,,,,
123,,,,,,,
124,,,,,,,
125,,,,,,,
126,,,,,,,
127,,,,,,,
128,,,,,,,
129,,,,,,,
130,,,,,,,
131,,,,,,,
132,,,,,,,
133,,,,,,,
134,,,,,,,
135,grass,plains,,,,,
136,grass,plains,,,,,
137,grass,,,,,,
138,grass,,,,,,
139,,,,,,,
140,,,,,,,
141,,,,,,,
142,,,,,,,
143,plains,,,,,,
144,plains,,,,,,
145,plains,,,,,,
146,,,,,,,
147,grass,,,,,,
148,grass,,,,,,
149,grass,,,,,,
150,,,,,,,
151,,,,,,,
152,,,,,,,
153,grass,,,,,,
154,grass,,,,,,
155,,,,,,,
156,,,,,,,
157,,,,,,,
158,,,,,,,
159,,,,,,,
160,,,,,,,
161,,,,,,,
162,,,,,,,
163,,,,,,,
164,grass,,,,,,
165,grass,,,,,,
166,grass,,,,,,
167,grass,,,,,,
168,grass,,,,,,
169,savanna,grass,trees,plains,,,
170,savanna,grass,trees,plains,,,
171,savanna,grass,trees,plains,,,
172,savanna,grass,trees,plains,,,
173,savanna,grass,trees,plains,,,
174,savanna,grass,trees,plains,,,
175,savanna,grass,trees,plains,,,
176,savanna,grass,trees,plains,,,
177,savanna,grass,trees,plains,,,
178,savanna,grass,trees,plains,,,
179,grass,plains,savanna,,,,
180,grass,plains,savanna,,,,
181,grass,,,,,,
182,grass,plains,savanna,,,,
183,grass,plains,savanna,,,,
