,0,1,2,3,4,5
0,splash,,,,,
1,splash,,,,,
2,splash,,,,,
3,splash,,,,,
4,splash,,,,,
5,splash,,,,,
6,splash,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,swimming,,,,,
24,swimming,,,,,
25,swimming,,,,,
26,swimming,,,,,
27,swimming,,,,,
28,swimming,,,,,
29,swimming,,,,,
30,swimming,,,,,
31,swimming,,,,,
32,swimming,,,,,
33,swimming,,,,,
34,swimming,,,,,
35,swimming,,,,,
36,swimming,,,,,
37,swimming,,,,,
38,swimming,turning,,,,
39,swimming,turning,,,,
40,swimming,turning,,,,
41,swimming,turning,,,,
42,swimming,turning,,,,
43,swimming,turning,,,,
44,swimming,turning,,,,
45,swimming,turning,,,,
46,swimming,,,,,
47,swimming,turning,splash,,,
48,swimming,turning,splash,,,
49,swimming,turning,splash,,,
50,swimming,turning,splash,,,
51,swimming,jumping,catching,eating,splashing,
52,swimming,jumping,catching,eating,splashing,
53,swimming,splashing,eating,catching,,
54,swimming,splashing,eating,catching,,
55,swimming,splashing,eating,catching,jumping,
56,swimming,splashing,eating,catching,jumping,
57,swimming,splashing,eating,catching,jumping,
58,swimming,splashing,eating,catching,turning,
59,swimming,splashing,eating,catching,turning,
60,swimming,splashing,eating,catching,turning,
61,swimming,jumping,catching,eating,splashing,
62,swimming,catching,splashing,,,
63,swimming,catching,splashing,,,
64,swimming,splashing,,,,
65,swimming,jumping,catching,eating,splashing,
66,swimming,jumping,catching,eating,splashing,
67,swimming,jumping,catching,eating,splashing,
68,swimming,jumping,catching,eating,splashing,
69,swimming,jumping,catching,eating,splashing,
70,swimming,,,,,
71,swimming,,,,,
72,swimming,,,,,
73,swimming,,,,,
74,swimming,,,,,
75,swimming,,,,,
76,swimming,,,,,
