,0,1,2
479,eating,chewing,
480,eating,chewing,
481,,,
482,,,
483,eating,chewing,
484,eating,chewing,
485,eating,chewing,
486,,,
487,,,
488,,,
489,,,
490,,,
491,,,
492,,,
493,,,
494,,,
495,,,
496,,,
497,,,
498,,,
499,looking,,
500,,,
501,,,
502,,,
503,,,
504,,,
505,,,
506,,,
507,,,
508,,,
509,,,
510,,,
511,,,
512,,,
513,,,
514,,,
515,,,
516,,,
517,,,
518,,,
519,,,
520,,,
521,,,
522,,,
523,,,
524,,,
525,,,
526,,,
527,carrying,,
528,carrying,,
529,carrying,,
530,carrying,,
531,carrying,,
532,carrying,,
533,,,
534,,,
535,,,
536,,,
537,,,
538,,,
539,,,
540,,,
541,,,
542,,,
543,,,
544,flying,,
545,flying,,
546,flying,,
547,flying,,
548,flying,,
549,,,
550,,,
551,,,
552,,,
553,,,
554,,,
555,flying,,
556,flying,,
557,,,
558,,,
559,,,
560,,,
561,,,
562,,,
563,,,
564,,,
565,swimming,,
566,,,
567,,,
568,,,
569,,,
570,,,
571,,,
572,,,
573,,,
574,swimming,,
575,swimming,,
576,swimming,,
577,swimming,,
578,swimming,,
579,swimming,,
580,swimming,,
581,swimming,,
582,swimming,,
583,swimming,,
584,swimming,,
585,swimming,,
586,swimming,,
587,swimming,,
588,swimming,,
589,swimming,,
590,swimming,,
591,,,
592,,,
593,,,
594,swimming,,
595,swimming,,
596,swimming,,
597,swimming,,
598,swimming,,
599,swimming,,
600,swimming,,
601,swimming,,
602,swimming,,
603,swimming,,
604,swimming,,
605,swimming,,
606,swimming,,
607,swimming,,
608,swimming,,
609,swimming,,
610,swimming,,
611,swimming,,
612,swimming,,
613,swimming,,
614,swimming,,
615,swimming,,
616,swimming,,
617,swimming,,
618,swimming,,
619,swimming,,
620,swimming,,
621,swimming,,
622,swimming,,
623,swimming,,
624,swimming,,
625,swimming,,
626,swimming,,
627,swimming,,
628,swimming,,
629,swimming,,
630,swimming,,
631,swimming,,
632,swimming,,
633,swimming,,
634,,,
635,,,
636,swimming,,
637,swimming,,
638,swimming,,
639,,,
640,,,
641,swimming,,
642,swimming,,
643,swimming,,
644,swimming,,
645,,,
646,,,
647,,,
648,,,
649,,,
650,swimming,,
651,,,
652,,,
653,swimming,,
654,swimming,,
655,swimming,,
656,swimming,,
657,swimming,,
658,,,
659,,,
660,swimming,,
661,swimming,,
662,swimming,,
663,swimming,,
664,swimming,,
665,swimming,,
666,swimming,,
667,swimming,,
668,,,
669,swimming,,
670,swimming,,
671,swimming,,
672,swimming,,
673,swimming,,
674,swimming,,
675,swimming,,
676,swimming,,
677,swimming,,
678,swimming,,
679,swimming,,
680,swimming,,
681,swimming,,
682,swimming,,
683,swimming,,
684,swimming,,
685,swimming,,
686,swimming,,
687,swimming,,
688,swimming,,
689,swimming,,
690,swimming,,
691,swimming,,
692,swimming,,
693,swimming,,
694,swimming,,
695,swimming,,
696,swimming,,
697,swimming,,
698,swimming,,
699,swimming,,
700,swimming,,
701,swimming,,
702,swimming,,
703,swimming,,
704,swimming,,
705,swimming,,
706,swimming,,
707,swimming,,
708,swimming,,
709,swimming,,
710,,,
711,,,
712,,,
713,,,
714,swimming,,
715,swimming,,
716,swimming,,
717,swimming,,
718,swimming,,
719,swimming,chasing,
720,swimming,chasing,
721,swimming,,
722,swimming,chasing,
723,swimming,chasing,
724,swimming,chasing,
725,swimming,chasing,
726,swimming,chasing,
727,flying,,
728,flying,,
729,flying,,
730,flying,,
731,flying,,
732,flying,,
733,flying,,
734,flying,,
735,flying,,
736,flying,,
737,flying,,
738,swimming,,
739,swimming,,
740,flying,,
741,flying,,
742,flying,,
743,flying,,
744,flying,,
745,flying,,
746,flying,,
747,flying,,
748,flying,,
749,flying,,
750,flying,,
751,flying,,
752,flying,,
753,,,
754,,,
755,,,
756,,,
757,,,
758,,,
759,,,
760,,,
761,,,
762,,,
763,,,
764,,,
765,,,
766,,,
767,,,
768,,,
769,,,
770,,,
771,,,
772,,,
773,climbing,,
774,climbing,,
775,climbing,,
776,climbing,,
777,climbing,,
778,,,
779,,,
780,,,
781,,,
782,,,
783,,,
784,,,
785,,,
786,,,
787,,,
788,,,
789,,,
790,,,
791,,,
