,0,1,2,3,4,5
321,water,iceberg,,,,
322,water,iceberg,,,,
323,water,iceberg,ice,,,
324,water,,,,,
325,water,,,,,
326,water,iceberg,,,,
327,water,iceberg,,,,
328,,,,,,
329,water,ocean,iceberg,,,
330,bubbles,,,,,
331,water,ocean,iceberg,wave,,
332,water,ocean,iceberg,,,
333,bubbles,,,,,
334,water,ocean,iceberg,,,
335,water,ocean,iceberg,,,
336,water,ocean,iceberg,,,
337,water,ocean,iceberg,,,
338,water,ocean,iceberg,,,
339,water,ocean,iceberg,,,
340,water,ocean,iceberg,,,
341,water,ocean,iceberg,,,
342,water,ocean,iceberg,,,
343,water,ocean,iceberg,,,
344,bubbles,,,,,
345,bubbles,,,,,
346,bubbles,,,,,
347,water,ocean,,,,
348,water,ocean,,,,
349,water,ocean,,,,
350,water,ocean,,,,
351,iceberg,ocean,,,,
352,iceberg,ocean,,,,
353,iceberg,ocean,,,,
354,iceberg,ocean,,,,
355,iceberg,ocean,,,,
356,water,ocean,ice,iceberg,,
357,water,ocean,ice,iceberg,,
358,water,ocean,ice,iceberg,,
359,water,ocean,,,,
360,water,ocean,,,,
361,iceberg,,,,,
362,iceberg,,,,,
363,iceberg,ice,water,ocean,,
364,iceberg,ice,water,ocean,,
365,iceberg,water,ocean,,,
366,iceberg,water,ocean,,,
367,iceberg,water,ocean,,,
368,iceberg,water,ocean,,,
369,forest,trees,,,,
370,forest,trees,,,,
371,forest,trees,,,,
372,forest,trees,tree,,,
373,forest,tree,tree,,,
374,forest,tree,tree,,,
375,forest,trees,,,,
376,forest,trees,,,,
377,tree,leaves,,,,
378,forest,trees,leaves,,,
379,forest,trees,leaves,,,
380,forest,trees,leaves,,,
381,forest,trees,leaves,,,
382,forest,trees,leaves,,,
383,forest,trees,leaves,,,
384,forest,trees,leaves,,,
385,forest,trees,leaves,,,
386,forest,trees,leaves,,,
387,forest,trees,leaves,,,
388,forest,leaves,,,,
389,forest,leaves,,,,
390,forest,,,,,
391,forest,trees,tree,,,
392,forest,trees,tree,,,
393,forest,tree,,,,
394,forest,tree,tree,,,
395,forest,tree,tree,,,
396,forest,tree,tree,,,
397,forest,leaves,,,,
398,forest,tree,tree,,,
399,forest,leaves,tree,,,
400,forest,leaves,tree,,,
401,forest,leaves,tree,,,
402,forest,leaves,tree,,,
403,forest,trees,leaves,,,
404,forest,trees,leaves,,,
405,forest,tree,tree,,,
406,forest,tree,tree,,,
407,forest,tree,tree,leaves,,
408,forest,tree,tree,leaves,,
409,forest,,,,,
410,forest,,,,,
411,forest,,,,,
412,,,,,,
413,,,,,,
414,,,,,,
415,leaves,,,,,
416,leaves,,,,,
417,leaves,tree,,,,
418,,,,,,
419,,,,,,
420,leaves,,,,,
421,forest,tree,tree,,,
422,,,,,,
423,,,,,,
424,,,,,,
425,,,,,,
426,forest,leaves,trees,,,
427,,,,,,
428,,,,,,
429,forest,tree,leaves,,,
430,,,,,,
431,,,,,,
432,,,,,,
433,,,,,,
434,,,,,,
435,,,,,,
436,,,,,,
437,,,,,,
438,,,,,,
439,,,,,,
440,leaves,,,,,
441,,,,,,
442,,,,,,
443,,,,,,
444,,,,,,
445,,,,,,
446,,,,,,
447,tree,,,,,
448,tree,leaves,,,,
449,,,,,,
450,,,,,,
451,,,,,,
452,water,,,,,
453,forest,,,,,
454,forest,leaves,,,,
455,forest,leaves,,,,
456,forest,leaves,,,,
457,forest,leaves,trees,tree,,
458,forest,leaves,,,,
459,,,,,,
460,forest,leaves,,,,
461,,,,,,
462,,,,,,
463,,,,,,
464,trees,,,,,
465,trees,,,,,
466,rock,,,,,
467,rock,,,,,
468,rocks,trees,,,,
469,rocks,trees,,,,
470,,,,,,
471,,,,,,
472,,,,,,
473,,,,,,
474,,,,,,
475,,,,,,
476,,,,,,
477,,,,,,
478,,,,,,
479,,,,,,
480,,,,,,
481,,,,,,
482,,,,,,
483,,,,,,
484,,,,,,
485,,,,,,
486,prairie,tree,,,,
487,prairie,trees,,,,
488,prairie,trees,,,,
489,,,,,,
490,,,,,,
491,prairie,,,,,
492,,,,,,
493,leaves,,,,,
494,leaves,,,,,
