,0,1,2,3
335,seal,whale,,
336,seal,whale,,
337,seal,,,
338,seal,whale,,
339,seal,whale,,
340,seal,whale,,
341,seal,whale,,
342,seal,,,
343,seal,whale,,
344,,,,
345,,,,
346,,,,
347,,,,
348,,,,
349,,,,
350,,,,
351,seal,,,
352,seal,,,
353,seal,,,
354,seal,,,
355,seal,,,
356,whale,,,
357,whale,,,
358,whale,,,
359,seal,,,
360,seal,,,
361,seal,,,
362,seal,,,
363,seals,,,
364,seals,,,
365,seals,,,
366,seals,,,
367,seals,,,
368,seals,,,
369,,,,
370,,,,
371,,,,
372,,,,
373,moths,,,
374,moths,,,
375,,,,
376,,,,
377,,,,
378,deer,,,
379,deer,,,
380,deer,,,
381,deer,feet,,
382,deer,feet,,
383,deer,feet,,
384,deer,feet,,
385,deer,feet,,
386,deer,feet,,
387,deer,feet,,
388,tiger,legs,,
389,tiger,legs,,
390,deer,,,
391,deer,,,
392,deer,,,
393,deer,,,
394,tiger,,,
395,tiger,,,
396,deer,,,
397,deer,,,
398,deer,head,,
399,deer,tails,monkeys,
400,deer,tails,monkeys,
401,deer,tails,monkeys,
402,deer,tails,monkeys,
403,monkeys,,,
404,monkeys,,,
405,monkey,head,,
406,monkey,head,,
407,deer,head,,
408,bird,,,
409,monkey,head,bug,
410,monkey,head,bug,
411,monkey,head,bug,
412,deer,,,
413,deer,,,
414,deer,,,
415,deer,head,eye,
416,deer,head,eye,
417,deer,,,
418,tiger,,,
419,tiger,,,
420,deer,,,
421,deer,,,
422,deer,head,,
423,head,,,
424,tiger,,,
425,head,,,
426,deer,,,
427,deer,,,
428,deer,,,
429,monkey,,,
430,deer,,,
431,deer,head,,
432,deer,head,,
433,tiger,,,
434,tiger,,,
435,tiger,,,
436,tiger,,,
437,deer,head,,
438,tiger,head,,
439,deer,head,,
440,monkey,head,,
441,deer,head,eye,
442,tiger,head,,
443,tiger,head,,
444,tiger,,,
445,tiger,,,
446,deer,,,
447,monkey,head,,
448,monkey,,,
449,tiger,,,
450,monkeys,,,
