forest
trees
sunlight
forest background noise
forest noise
light
chirping noise
blurry
zoomed in
tree trunk
butterflies
multiple
moth
flying
taking off
flapping noise
multiple 
narration
grass
clearing
hazy
leaves
changing focus
shrubbery
chital deer
deer
footstep noise
walking
1
deer legs/feet
leaf litter
body
bee buzzing noise
head
tiger
leg
tree trunks
black screen
spots
mostly black screen
unidentifiable movement
stripes
deer head
varies
camera panning up
monkey tails
monkey bodies
tail
swinging
monkies
tree
langur monkey
5
monkey face
scanning
2
bird
bird calling
chirping
buzzing noise
face
bug
eating
3
multiple in background
horns
eating noise
tongue
zoomed out
nose
licking
tiger 
music
zooming in
chewing
chewing noise
stopping
chital deer noise
stomping
barking
stomping noise
startling
startled
chital deer head
langur monkey face
deer vocalization
monkey vocalization
fleeing
monkey bark noise
deer barking noise
chasing
running
jumping
leaping
animal barking noise
water noise
water
splashing
chital dear
monkey vocalizations
chital deer in background
green
wind
field
blowing grass noise
rock
hills
snake skin
california ground squirrel
squirrel
snakeskin
ground squirrel
grooming
grey squirrel
smelling
prarie
prairie
adult
squirrel babies
squirrel vocalization
multiple vocalizations
rattlesnake
running 
sniffing
standing up
dirt mound
shaking tail
pushing dirt
digging
rattling from snake
rattle snake rattling noise
rattle snake
flying dirt
rattle noise
snake head
waving squirrel tail
pick up stick
push rock
stepping
squirrel approaching snake
squirrel tail
withdrawing
rustling leaves
snake tail
slithering
rattlesnake rattling noise
mother
squirrel baby
carrying
grabbing
biting
<
two
holding
hiding
white noise
waves
breaking
fish
ocean
rocks
penguin
penguin 
waddling
penguin vocalization
penguin squawking noise
ocean noise
beach
penguins
shore
sand
seals
seal vocalization
elephant seal
elephant seal barking noise
seal heads
open mouths
playing
bird vocalization
wave
splash
soaking
killer whale
swimming
attack
whale
hunting
attacking
pushing
aerial
shoving
diving
surfacing
spouting
dorsal fins
many
elephant seals
tidal pool
animal noise
squawking noise
dorsal fin
squaking noise
sufacing
kelp
seal barking noise
basking
seagulls in background
bird squawking noise
birds 
birds
submerged killer whale
spouting noise
narrationo
breathing noise
chirping noise 
tip of dorsal fin
submerged
pursuing
rocking
seal head
animal vocalization
fighting
animal vocalizations
dead seal
bird chirping noise
birds (waterfowl)
bird noise
blackscreen
children
standing
penguib
