encoding performance (r)	ROI	subject	hemisphere	features	run
0.029179234191609473	TPJ	sub-rid000001	lh	moten	3
0.02874950092812397	AIP	sub-rid000001	lh	moten	3
0.009896172553890711	SM	sub-rid000001	lh	moten	3
-0.0007196358593015854	vPM	sub-rid000001	lh	moten	3
0.05063666096691456	V1	sub-rid000001	lh	bg	4
0.09047227708213836	FFC	sub-rid000001	lh	bg	4
0.04479458440467473	PHG	sub-rid000001	lh	bg	4
0.06570859343845624	LOC	sub-rid000001	lh	bg	4
0.006586944964997595	pSTS	sub-rid000001	lh	bg	4
0.08272357155150674	PPC	sub-rid000001	lh	bg	4
0.017159883559600363	TPJ	sub-rid000001	lh	bg	4
0.016106936131281432	AIP	sub-rid000001	lh	bg	4
0.011146841467234644	SM	sub-rid000001	lh	bg	4
-0.003442014130234297	vPM	sub-rid000001	lh	bg	4
-0.009948127802335007	V1	sub-rid000001	lh	agents	4
0.13582887010544012	FFC	sub-rid000001	lh	agents	4
-0.024099259765669692	PHG	sub-rid000001	lh	agents	4
0.12070214277060796	LOC	sub-rid000001	lh	agents	4
0.056086238169935076	pSTS	sub-rid000001	lh	agents	4
0.008286915117480358	PPC	sub-rid000001	lh	agents	4
0.0213651107964751	TPJ	sub-rid000001	lh	agents	4
0.03899928765746496	AIP	sub-rid000001	lh	agents	4
0.016759339328380488	SM	sub-rid000001	lh	agents	4
0.018358760527674652	vPM	sub-rid000001	lh	agents	4
-0.00038675243692138484	V1	sub-rid000001	lh	actions	4
0.0633290845051125	FFC	sub-rid000001	lh	actions	4
0.03943141505553487	PHG	sub-rid000001	lh	actions	4
0.08116285139784442	LOC	sub-rid000001	lh	actions	4
0.03709738623681466	pSTS	sub-rid000001	lh	actions	4
-0.0239744674167044	PPC	sub-rid000001	lh	actions	4
0.0029298835666114733	TPJ	sub-rid000001	lh	actions	4
0.07036016061825105	AIP	sub-rid000001	lh	actions	4
0.018301791958086924	SM	sub-rid000001	lh	actions	4
0.043689243064311864	vPM	sub-rid000001	lh	actions	4
0.06282397154808675	V1	sub-rid000001	lh	moten	4
0.03899805208089693	FFC	sub-rid000001	lh	moten	4
0.004101865188001991	PHG	sub-rid000001	lh	moten	4
0.050494974951942675	LOC	sub-rid000001	lh	moten	4
-0.014587113494954862	pSTS	sub-rid000001	lh	moten	4
0.03300512161879392	PPC	sub-rid000001	lh	moten	4
0.009491447102658186	TPJ	sub-rid000001	lh	moten	4
0.04592994986418836	AIP	sub-rid000001	lh	moten	4
0.010132128600205648	SM	sub-rid000001	lh	moten	4
0.013252342752682687	vPM	sub-rid000001	lh	moten	4
0.03445717249151921	V1	sub-rid000001	rh	bg	1
0.08672995669024074	FFC	sub-rid000001	rh	bg	1
0.055855568846591805	PHG	sub-rid000001	rh	bg	1
0.05554685738600445	LOC	sub-rid000001	rh	bg	1
-0.018312995456718845	pSTS	sub-rid000001	rh	bg	1
0.08596508477301798	PPC	sub-rid000001	rh	bg	1
0.007464722694073279	TPJ	sub-rid000001	rh	bg	1
0.03220761482543157	AIP	sub-rid000001	rh	bg	1
-0.0006127653829313303	SM	sub-rid000001	rh	bg	1
0.02325605979529055	vPM	sub-rid000001	rh	bg	1
-0.0038485960971057363	V1	sub-rid000001	rh	agents	1
0.14260937215658487	FFC	sub-rid000001	rh	agents	1
0.009635494934520787	PHG	sub-rid000001	rh	agents	1
0.10112042190124843	LOC	sub-rid000001	rh	agents	1
0.07468389774961877	pSTS	sub-rid000001	rh	agents	1
0.030668593433713823	PPC	sub-rid000001	rh	agents	1
0.02230744328602737	TPJ	sub-rid000001	rh	agents	1
9.586246110886181e-05	AIP	sub-rid000001	rh	agents	1
-0.005629930520952307	SM	sub-rid000001	rh	agents	1
0.012348426311874359	vPM	sub-rid000001	rh	agents	1
0.0021906800128085563	V1	sub-rid000001	rh	actions	1
0.032827954999447684	FFC	sub-rid000001	rh	actions	1
0.06689672614507693	PHG	sub-rid000001	rh	actions	1
0.06755866405703868	LOC	sub-rid000001	rh	actions	1
0.08883124886631286	pSTS	sub-rid000001	rh	actions	1
0.030366270612711275	PPC	sub-rid000001	rh	actions	1
0.04742807556642588	TPJ	sub-rid000001	rh	actions	1
0.11055232577784152	AIP	sub-rid000001	rh	actions	1
0.05088297181006155	SM	sub-rid000001	rh	actions	1
0.027886130909864294	vPM	sub-rid000001	rh	actions	1
0.10280985836569645	V1	sub-rid000001	rh	moten	1
-0.06083383292135685	FFC	sub-rid000001	rh	moten	1
-0.018737228012212333	PHG	sub-rid000001	rh	moten	1
0.032124834292934286	LOC	sub-rid000001	rh	moten	1
-0.005578651903684543	pSTS	sub-rid000001	rh	moten	1
0.10348306784491264	PPC	sub-rid000001	rh	moten	1
0.02462728325026014	TPJ	sub-rid000001	rh	moten	1
-0.0008774890503109677	AIP	sub-rid000001	rh	moten	1
0.030472652773194758	SM	sub-rid000001	rh	moten	1
-0.003576628485251308	vPM	sub-rid000001	rh	moten	1
